"token","count"
"mc","136"
"results","135"
"lot","135"
"square","135"
"french","135"
"getting","135"
"showed","134"
"de","134"
"cases","134"
"countries","134"
"christian","134"
"western","134"
"paid","134"
"difference","134"
"weeks","134"
"fall","133"
"lay","133"
"likely","133"
"anti","133"
"start","133"
"industrial","133"
"points","133"
"color","133"
"walked","133"
"below","133"
"step","132"
"moral","132"
"stand","132"
"trade","132"
"temperature","132"
"reading","132"
"anyone","132"
"ideas","131"
"thinking","131"
"increased","131"
"using","131"
"bill","131"
"meet","131"
"lower","131"
"army","131"
"neither","130"
"eye","130"
"directly","130"
"earlier","130"
"programs","130"
"production","130"
"strength","130"
"game","130"
"whom","130"
"indeed","130"
"addition","130"
"due","129"
"letter","129"
"involved","129"
"southern","129"
"knowledge","128"
"boys","128"
"girls","128"
"particularly","128"
"aid","128"
"methods","128"
"deal","128"
"hot","128"
"member","128"
"degree","128"
"method","127"
"summer","127"
"husband","127"
"list","127"
"nearly","127"
"remember","127"
"try","127"
"effort","127"
"physical","127"
"size","127"
"according","126"
"population","126"
"yes","126"
"throughout","126"
"soviet","126"
"services","125"
"opened","125"
"provided","124"
"record","124"
"trouble","124"
"questions","124"
"certainly","123"
"ran","123"
"bad","123"
"organization","123"
"friend","123"
"sales","123"
"concerned","122"
"piece","122"
"wrong","122"
"direction","122"
"green","122"
"comes","122"
"appeared","122"
"influence","122"
"meaning","122"
"bed","122"
"george","121"
"decided","121"
"student","121"
"fear","121"
"term","121"
"effective","120"
"planning","120"
"literature","120"
"volume","120"
"ask","120"
"merely","120"
"works","120"
"normal","120"
"trial","120"
"evening","120"
"led","120"
"freedom","120"
"shot","120"
"direct","119"
"maybe","119"
"generally","119"
"cause","119"
"science","119"
"respect","119"
"ways","118"
"clearly","118"
"easy","118"
"efforts","118"
"theory","118"
"sun","118"
"systems","117"
"plant","117"
"average","117"
"continued","117"
"blood","117"
"based","117"
"price","117"
"former","117"
"statement","117"
"radio","117"
"horse","117"
"understand","117"
"movement","116"
"truth","116"
"met","116"
"wouldn","116"
"myself","116"
"europe","116"
"district","116"
"note","116"
"beautiful","116"
"treatment","116"
"seven","115"
"couple","115"
"born","115"
"arms","115"
"reaction","115"
"changes","115"
"lead","115"
"spring","115"
"eight","114"
"main","114"
"hotel","114"
"gun","114"
"determined","114"
"stopped","114"
"forms","114"
"placed","113"
"association","113"
"latter","113"
"groups","113"
"series","113"
"performance","112"
"image","112"
"chance","112"
"charge","112"
"herself","112"
"somewhat","112"
"daily","112"
"farm","112"
"window","111"
"worked","111"
"chief","111"
"manner","111"
"march","111"
"approach","111"
"negro","111"
"press","111"
"consider","111"
"r","110"
"reported","110"
"deep","110"
"moving","110"
"heavy","110"
"numbers","110"
"decision","110"
"length","110"
"apparently","110"
"immediately","110"
"carried","110"
"progress","109"
"pool","109"
"doctor","109"
"steps","109"
"feed","108"
"technical","108"
"recently","108"
"writing","108"
"british","108"
"filled","108"
"hit","108"
"oh","108"
"straight","107"
"lived","107"
"running","107"
"stop","107"
"democratic","107"
"christ","107"
"specific","107"
"types","107"
"activity","107"
"additional","106"
"persons","106"
"operation","106"
"slowly","106"
"doubt","106"
"responsibility","106"
"character","106"
"quality","106"
"understanding","106"
"opportunity","106"
"account","105"
"l","105"
"audience","105"
"figures","105"
"served","105"
"distance","105"
"learned","105"
"standard","105"
"letters","105"
"mass","104"
"speak","104"
"larger","104"
"race","104"
"ball","104"
"drive","104"
"nuclear","104"
"pattern","104"
"foot","104"
"chicago","103"
"ahead","103"
"faith","103"
"justice","103"
"poor","103"
"test","103"
"established","103"
"plans","103"
"fiscal","103"
"station","103"
"waiting","103"
"described","103"
"include","103"
"officer","103"
"arm","103"
"wish","102"
"design","102"
"season","102"
"covered","102"
"serious","102"
"corner","102"
"sunday","102"
"scene","102"
"returned","102"
"importance","102"
"parts","102"
"obviously","102"
"designed","101"
"cities","101"
"closed","101"
"post","101"
"write","101"
"poet","101"
"gives","101"
"news","101"
"stay","101"
"indicated","101"
"plane","100"
"effects","100"
"rhode","100"
"pretty","100"
"appear","100"
"jazz","100"
"whatever","100"
"existence","100"
"thirty","100"
"attack","100"
"obtained","100"
"growing","99"
"religion","99"
"council","99"
"function","99"
"principle","99"
"completely","99"
"visit","99"
"saying","99"
"factors","99"
"hospital","99"
"staff","99"
"easily","99"
"mouth","99"
"thomas","98"
"sea","98"
"division","98"
"hardly","98"
"james","98"
"married","98"
"happy","98"
"cars","98"
"none","98"
"energy","98"
"language","98"
"income","98"
"activities","98"
"forward","98"
"continue","98"
"afternoon","98"
"gas","98"
"jack","97"
"lack","97"
"co","97"
"related","97"
"h","97"
"rates","97"
"serve","97"
"played","97"
"firm","97"
"extent","97"
"professional","97"
"analysis","97"
"w","97"
"ones","96"
"share","96"
"unit","96"
"stress","96"
"role","96"
"determine","96"
"glass","96"
"lord","96"
"choice","96"
"built","96"
"products","96"
"becomes","95"
"elements","95"
"follow","95"
"despite","95"
"attitude","95"
"commission","95"
"communist","95"
"facilities","95"
"teeth","95"
"leaders","95"
"agreement","95"
"applied","95"
"date","95"
"machine","94"
"charles","94"
"playing","94"
"thousand","94"
"spent","94"
"caught","94"
"expect","94"
"limited","94"
"unless","94"
"bit","94"
"round","94"
"king","94"
"corps","94"
"knows","94"
"health","93"
"hell","93"
"june","93"
"standing","93"
"clay","93"
"interested","93"
"patient","93"
"nine","93"
"walk","92"
"reach","92"
"sides","92"
"reasons","92"
"techniques","92"
"status","92"
"places","92"
"film","91"
"current","91"
"suggested","91"
"usual","91"
"trees","91"
"talking","91"
"rise","91"
"supply","91"
"dropped","91"
"oil","91"
"director","91"
"prepared","91"
"remained","91"
"style","91"
"concern","90"
"relations","90"
"studies","90"
"isn","90"
"materials","90"
"exactly","90"
"conference","90"
"primary","90"
"governor","90"
"proper","89"
"laws","89"
"weight","89"
"bridge","89"
"active","89"
"management","89"
"giving","89"
"events","89"
"radiation","88"
"pieces","88"
"dollars","88"
"worth","88"
"claim","88"
"meant","88"
"fight","88"
"considerable","88"
"churches","88"
"books","88"
"original","88"
"heat","88"
"parents","88"
"civil","88"
"opinion","88"
"demand","88"
"marriage","88"
"sign","87"
"hadn","87"
"entered","87"
"pain","87"
"discussion","87"
"mike","87"
"americans","87"
"popular","87"
"g","87"
"accepted","87"
"bright","87"
"highly","87"
"cattle","87"
"changed","86"
"obvious","86"
"fell","86"
"older","86"
"leadership","86"
"product","86"
"someone","86"
"suppose","86"
"key","86"
"remain","86"
"included","86"
"actual","85"
"institutions","85"
"pass","85"
"objective","85"
"published","85"
"raised","85"
"battle","85"
"authority","85"
"project","85"
"sitting","85"
"add","85"
"poetry","84"
"gray","84"
"inch","84"
"wait","84"
"park","84"
"enemy","84"
"break","84"
"everyone","84"
"thin","84"
"sir","84"
"mary","84"
"fourth","84"
"develop","83"
"tradition","83"
"source","83"
"funds","83"
"base","83"
"practice","83"
"relationship","83"
"bottom","83"
"entirely","83"
"dinner","83"
"successful","83"
"catholic","83"
"london","83"
"principal","83"
"spoke","83"
"rose","83"
"touch","82"
"shows","82"
"leaving","82"
"speed","82"
"measure","82"
"annual","82"
"corporation","82"
"fair","82"
"sex","82"
"attempt","82"
"fifty","82"
"behavior","82"
"fast","82"
"finished","82"
"condition","81"
"assistance","81"
"balance","81"
"captain","81"
"failure","81"
"names","81"
"produced","81"
"german","81"
"loss","80"
"complex","80"
"carry","80"
"philosophy","80"
"officers","80"
"quickly","80"
"subjects","80"
"reports","80"
"brother","80"
"instance","80"
"manager","80"
"construction","80"
"build","80"
"jewish","80"
"positive","79"
"sources","79"
"dance","79"
"proposed","79"
"capacity","79"
"poems","79"
"bar","79"
"equal","79"
"regard","79"
"significant","79"
"seeing","79"
"cover","79"
"moreover","79"
"allowed","79"
"file","79"
"broad","79"
"musical","79"
"citizens","79"
"structure","79"
"slightly","79"
"carefully","79"
"collection","79"
"famous","79"
"records","79"
"yesterday","78"
"financial","78"
"frequently","78"
"sight","78"
"drink","78"
"robert","78"
"kitchen","78"
"teacher","78"
"scientific","78"
"prevent","78"
"caused","78"
"created","78"
"classes","78"
"success","78"
"event","78"
"greatest","78"
"relatively","78"
"mark","78"
"named","78"
"security","78"
"noted","78"
"doesn","77"
"workers","77"
"goes","77"
"possibility","77"
"upper","77"
"essential","77"
"team","77"
"interests","77"
"double","77"
"bank","77"
"require","77"
"impossible","77"
"fixed","77"
"degrees","77"
"operating","77"
"remains","77"
"henry","77"
"variety","77"
"houses","77"
"distribution","76"
"editor","76"
"enter","76"
"edge","76"
"purposes","76"
"inches","76"
"capital","76"
"facts","76"
"units","76"
"learn","76"
"russian","76"
"marked","76"
"regular","76"
"aware","76"
"winter","76"
"desire","75"
"stations","75"
"watch","75"
"memory","75"
"agreed","75"
"companies","75"
"takes","75"
"beside","75"
"clothes","75"
"ship","75"
"affairs","75"
"offered","75"
"check","75"
"sweet","75"
"knife","75"
"rights","75"
"session","75"
"operations","74"
"requirements","74"
"appears","74"
"crisis","74"
"lives","74"
"russia","74"
"strange","74"
"nobody","74"
"otherwise","74"
"mile","74"
"khrushchev","74"
"youth","74"
"rules","74"
"previous","74"
"germany","74"
"twice","74"
"remembered","74"
"reality","74"
"fresh","73"
"forced","73"
"provides","73"
"immediate","73"
"reduced","73"
"writers","73"
"leader","73"
"gain","73"
"master","73"
"opening","73"
"bottle","73"
"favor","73"
"spread","73"
"neck","73"
"vocational","73"
"traditional","73"
"providence","73"
"campaign","72"
"presented","72"
"announced","72"
"shape","72"
"index","72"
"mentioned","72"
"liberal","72"
"rock","72"
"box","72"
"cells","72"
"trip","72"
"san","72"
"formed","72"
"economy","72"
"opposite","72"
"indicate","72"
"apartment","72"
"interesting","72"
"nice","72"
"maximum","72"
"expression","72"
"mission","72"
"produce","72"
"literary","72"
"concept","72"
"looks","72"
"flat","72"
"died","72"
"personnel","71"
"vote","71"
"rule","71"
"mercer","71"
"boat","71"
"smaller","71"
"secret","71"
"recognized","71"
"region","71"
"title","71"
"daughter","71"
"train","71"
"anode","71"
"murder","71"
"weather","71"
"hill","71"
"sam","71"
"stated","71"
"explained","71"
"league","71"
"quiet","71"
"fields","71"
"procedure","71"
"dog","70"
"turning","70"
"richard","70"
"difficulty","70"
"begin","70"
"faces","70"
"plus","70"
"receive","70"
"tone","70"
"fully","70"
"france","70"
"circumstances","70"
"rain","70"
"address","70"
"wine","70"
"election","69"
"expressed","69"
"fighting","69"
"communism","69"
"treated","69"
"picked","69"
"cross","69"
"interior","69"
"sharp","69"
"april","69"
"differences","69"
"junior","69"
"offer","69"
"november","69"
"jr","69"
"discovered","69"
"morgan","69"
"text","69"
"rich","69"
"quick","68"
"selected","68"
"buildings","68"
"virginia","68"
"increasing","68"
"historical","68"
"legal","68"
"standards","68"
"horses","68"
"nevertheless","68"
"trust","68"
"pulled","68"
"drawn","68"
"baby","68"
"danger","68"
"killed","68"
"hanover","68"
"dust","68"
"laid","68"
"proved","68"
"official","68"
"model","68"
"separate","68"
"items","68"
"louis","68"
"watched","68"
"hearing","67"
"everybody","67"
"berlin","67"
"membership","67"
"coffee","67"
"faculty","67"
"china","67"
"compared","67"
"beauty","67"
"realized","67"
"pointed","67"
"lady","67"
"sections","67"
"chosen","67"
"believed","67"
"aircraft","67"
"willing","67"
"watching","67"
"ordinary","67"
"failed","67"
"protection","67"
"removed","67"
"ability","67"
"wants","67"
"dry","67"
"send","67"
"writer","67"
"individuals","67"
"shelter","67"
"principles","67"
"texas","67"
"traffic","66"
"allow","66"
"cell","66"
"page","66"
"revolution","66"
"response","66"
"atmosphere","66"
"features","66"
"fashion","66"
"monday","66"
"clean","66"
"telephone","66"
"studied","66"
"approximately","66"
"intellectual","66"
"permit","66"
"soft","66"
"kid","66"
"phase","66"
"planned","66"
"universe","66"
"judge","66"
"brief","66"
"ought","66"
"odd","66"
"observed","66"
"camp","65"
"du","65"
"animal","65"
"presence","65"
"song","65"
"somehow","65"
"yourself","65"
"valley","65"
"contrast","65"
"starting","65"
"fellow","65"
"solid","65"
"fig","65"
"chapter","65"
"application","65"
"stayed","65"
"village","64"
"ordered","64"
"directed","64"
"independence","64"
"settled","64"
"rome","64"
"column","64"
"constant","64"
"slow","64"
"article","64"
"issues","64"
"shop","64"
"attorney","64"
"wonder","64"
"teachers","64"
"familiar","64"
"fund","64"
"substantial","64"
"cutting","64"
"frame","64"
"connection","64"
"die","64"
"families","64"
"frank","64"
"jury","64"
"follows","64"
"responsible","63"
"command","63"
"beat","63"
"moon","63"
"completed","63"
"experiments","63"
"drew","63"
"store","63"
"dogs","63"
"ends","63"
"levels","63"
"advantage","63"
"wind","63"
"resources","63"
"accept","63"
"dream","63"
"warm","63"
"headed","63"
"realize","63"
"carrying","63"
"powers","63"
"platform","63"
"hung","63"
"seek","63"
"dress","63"
"educational","63"
"exchange","63"
"statements","63"
"la","63"
"reference","63"
"achievement","62"
"fit","62"
"aside","62"
"actions","62"
"birth","62"
"saturday","62"
"occurred","62"
"asking","62"
"helped","62"
"senate","62"
"ancient","62"
"excellent","62"
"practical","62"
"kill","62"
"maintenance","62"
"holding","62"
"snow","62"
"emotional","62"
"forty","62"
"claims","62"
"jones","62"
"relief","62"
"acting","62"
"score","62"
"projects","62"
"honor","62"
"evil","62"
"join","61"
"broke","61"
"fingers","61"
"speaking","61"
"assumed","61"
"politics","61"
"thick","61"
"jobs","61"
"wage","61"
"gross","61"
"waited","61"
"typical","61"
"minimum","61"
"flow","61"
"tomorrow","61"
"walls","61"
"characteristic","61"
"leading","61"
"largely","61"
"experiment","61"
"teaching","61"
"minute","61"
"passing","61"
"metal","61"
"object","61"
"naturally","61"
"factor","61"
"escape","61"
"estimated","61"
"lewis","61"
"sufficient","61"
"appropriate","61"
"appeal","61"
"faced","61"
"rifle","60"
"significance","60"
"calls","60"
"pictures","60"
"employees","60"
"rapidly","60"
"initial","60"
"highest","60"
"armed","60"
"site","60"
"tension","60"
"discussed","60"
"legs","60"
"hudson","60"
"spiritual","60"
"ourselves","60"
"sit","60"
"electronic","60"
"unusual","60"
"forth","60"
"tom","60"
"independent","60"
"potential","60"
"duty","60"
"keeping","60"
"properties","60"
"beach","60"
"clock","60"
"detail","60"
"block","59"
"towards","59"
"plays","59"
"background","59"
"july","59"
"please","59"
"signs","59"
"heavily","59"
"aspects","59"
"forest","59"
"closely","59"
"lips","59"
"california","59"
"safe","59"
"career","59"
"phil","59"
"spot","59"
"smiled","59"
"competition","59"
"electric","59"
"broken","59"
"unity","59"
"shoulder","59"
"scale","59"
"stands","59"
"explain","59"
"increases","59"
"grow","59"
"travel","59"
"sets","59"
"negative","59"
"newspaper","58"
"wore","58"
"desk","58"
"gets","58"
"victory","58"
"arts","58"
"capable","58"
"greek","58"
"jesus","58"
"narrow","58"
"benefit","58"
"rising","58"
"adequate","58"
"headquarters","58"
"dominant","58"
"yards","58"
"powerful","58"
"location","58"
"impact","58"
"objects","58"
"resolution","58"
"chair","58"
"matters","58"
"sleep","58"
"argument","58"
"reduce","57"
"courses","57"
"billion","57"
"speech","57"
"december","57"
"dramatic","57"
"arrived","57"
"communication","57"
"sky","57"
"concerning","57"
"housing","57"
"cool","57"
"supposed","57"
"policies","57"
"artist","57"
"stone","57"
"declared","57"
"yellow","57"
"somebody","57"
"bodies","57"
"refused","57"
"relation","57"
"budget","57"
"signal","57"
"solution","57"
"showing","57"
"save","57"
"primarily","57"
"imagination","57"
"maintain","57"
"dictionary","57"
"leg","57"
"tests","57"
"artists","56"
"appearance","56"
"reasonable","56"
"martin","56"
"pale","56"
"culture","56"
"search","56"
"stories","56"
"surprised","56"
"laos","56"
"extreme","56"
"charged","56"
"causes","56"
"learning","56"
"equally","56"
"happen","56"
"conscious","56"
"congo","56"
"governments","56"
"fifteen","56"
"belief","56"
"wilson","56"
"remove","56"
"feelings","56"
"loose","56"
"internal","56"
"empty","56"
"smith","56"
"greatly","56"
"european","56"
"wheel","56"
"measured","56"
"soldiers","56"
"besides","56"
"located","56"
"uncle","56"
"contemporary","56"
"chemical","56"
"joe","55"
"struggle","55"
"careful","55"
"task","55"
"jews","55"
"technique","55"
"commercial","55"
"imagine","55"
"taste","55"
"sensitive","55"
"ultimate","55"
"eat","55"
"combination","55"
"garden","55"
"orchestra","55"
"drove","55"
"associated","55"
"friendly","55"
"answered","55"
"busy","55"
"prices","55"
"afraid","55"
"identity","55"
"homes","55"
"enjoyed","55"
"tree","55"
"struck","55"
"painting","55"
"contained","55"
"completion","55"
"judgment","55"
"streets","55"
"hence","55"
"recognize","55"
"tuesday","55"
"draw","55"
"pleasure","54"
"officials","54"
"notice","54"
"unique","54"
"nose","54"
"contact","54"
"phone","54"
"ideal","54"
"agency","54"
"avoid","54"
"professor","54"
"papa","54"
"goal","54"
"chairman","54"
"contract","54"
"onto","54"
"apart","54"
"informed","54"
"hardy","54"
"continuing","54"
"motion","54"
"weapons","54"
"palmer","54"
"agencies","54"
"majority","54"
"smile","54"
"finds","54"
"confidence","54"
"goods","54"
"shook","54"
"marine","54"
"stared","54"
"assignment","54"
"buy","54"
"commerce","54"
"setting","54"
"minister","54"
"india","54"
"guests","54"
"portion","54"
"vision","54"
"chinese","54"
"fat","54"
"negroes","54"
"parties","54"
"coast","54"
"publication","53"
"pull","53"
"vice","53"
"friday","53"
"somewhere","53"
"requires","53"
"message","53"
"parker","53"
"procedures","53"
"previously","53"
"roman","53"
"fort","53"
"dear","53"
"roof","53"
"critical","53"
"hero","53"
"grew","53"
"britain","53"
"flowers","53"
"grass","53"
"perfect","53"
"ended","53"
"vast","53"
"truly","53"
"paris","53"
"k","53"
"fiction","53"
"lose","53"
"boston","53"
"bible","53"
"tall","53"
"possibly","53"
"novel","53"
"birds","53"
"assume","53"
"achieved","53"
"uses","53"
"gold","52"
"september","52"
"throat","52"
"occasion","52"
"divided","52"
"hat","52"
"providing","52"
"rear","52"
"closer","52"
"conclusion","52"
"roads","52"
"evident","52"
"mine","52"
"trained","52"
"finding","52"
"truck","52"
"wood","52"
"railroad","52"
"wondered","52"
"existing","52"
"sexual","52"
"shore","52"
"bear","52"
"arthur","52"
"domestic","52"
"entitled","52"
"talked","52"
"establish","52"
"credit","52"
"eisenhower","52"
"sought","52"
"huge","52"
"understood","52"
"bay","52"
"organized","52"
"beneath","52"
"author","52"
"band","52"
"review","52"
"driver","52"
"remarks","52"
"repeated","52"
"grounds","52"
"begins","52"
"welfare","51"
"bought","51"
"hearst","51"
"circle","51"
"guess","51"
"entrance","51"
"pick","51"
"wagon","51"
"theme","51"
"centers","51"
"republican","51"
"apparent","51"
"academic","51"
"library","51"
"inner","51"
"breath","51"
"plain","51"
"exist","51"
"dollar","51"
"organizations","51"
"replied","51"
"absence","51"
"neighborhood","51"
"win","51"
"advance","51"
"pure","51"
"investigation","51"
"plenty","51"
"rooms","51"
"limit","51"
"player","51"
"david","51"
"drop","51"
"operate","51"
"intensity","51"
"preparation","51"
"regarded","51"
"animals","51"
"wild","51"
